ratio=1
angle=13
t,x,y,
2.066,0.348,-5.634E-2
2.100,0.348,-5.366E-2
2.133,0.346,-5.366E-2
2.166,0.343,-5.433E-2
2.200,0.340,-5.701E-2
2.233,0.334,-5.768E-2
2.266,0.326,-5.969E-2
2.300,0.316,-6.170E-2
2.333,0.308,-6.304E-2
2.366,0.300,-6.572E-2
2.400,0.294,-6.706E-2
2.433,0.282,-6.974E-2
2.466,0.267,-7.376E-2
2.500,0.251,-7.778E-2
2.533,0.236,-8.179E-2
2.566,0.223,-8.581E-2
2.600,0.201,-8.849E-2
2.633,0.186,-9.385E-2
2.666,0.163,-9.921E-2
2.700,0.142,-0.105
2.733,0.117,-0.111
2.766,9.332E-2,-0.116
